identifier,inBundle,spellNameIdentifier,spellDescriptionIdentifier,icon,spellTypes,isUsedForAmmoBuff,activeAbilityBattleText,projectileIdentifier,videoTutorial,uncommonAttributes,spellCategories,spellSoundEffects,vfxsOnBuilding,vfxsOnDragon,h
hibernate,0,spell_HibernateSpell_spellName,spell_HibernateSpell_spellDescription,icon_hibernate.png,blue,0,hibernateSpellText,,hibernateSpell,,,spellStartSoundIdentifier:regenerate,,healParticle:heal_dragon,
iceLance,0,spell_IceLanceSpell_spellName,spell_IceLanceSpell_spellDescription,icon_iceLance.png,white,0,iceLanceSpellText,prj_drg_iceLance,iceLanceSpell,"buildingPriorityIdentifiers:mageBlueTower,mageTower,elementalFlakDark,elementalFlakFire,elementalFlakIce,elementalFlakWind,elementalFlakEarth,perchIsland03,perchIsland06,perchIsland08,stormTower,iceTurret,fireTurret,archerTower,cannonTower,trebuchet,smokeTower,lightningTower,ballista,darkTotem,earthTotem,fireTotem,iceTotem,windTotem,archerTowerTutorial,cannonTowerTutorial,lightningTowerTutorial,hogFarm,woodFarm,stable",,spellStartSoundIdentifier:dragonfire_missile_cast,,,
threeGifts,0,spell_ThreeGiftsSpell_spellName,spell_ThreeGiftsSpell_spellDescription,icon_threeGifts.png,white,0,threeGiftsSpellText,,threeGiftsSpell,,,,,adaptiveBreathBonusScene:spl_wayOfTheBlade.lvl,
giftGiven,0,spell_GiftGivenSpell_spellName,spell_GiftGivenSpell_spellDescription,icon_threeGifts.png,white,0,giftGivenSpellText,,springsRenewalSpell,,freeTarget,spellStartSoundIdentifier:giftGiven_prepare|spellReleaseSoundIdentifier:giftGiven_cast,onBuildingParticle:spl_giftGiven_apply|onBuildingScene:spl_onBuilding_giftGiven.lvl,projectilePrepareParticle:spl_giftGiven_prepare|applyDragonParticle:spl_giftGiven_apply,
holidayHelper,0,spell_HolidayHelperSpell_spellName,spell_HolidayHelperSpell_spellDescription,icon_holidayHelper.png,white,0,holidayHelperSpellText,drg_holidayHelper_flame,holidayHelperSpell,pathingEffectIdentifier:summonDragonEffect,,spellStartSoundIdentifier:holidayHelper_cast,,,
howlOfTheUnderworld,0,spell_HowlOfTheUnderworldSpell_spellName,spell_HowlOfTheUnderworldSpell_spellDescription,icon_howlOfTheUnderworld.png,white,0,howlOfTheUnderworldSpellText,,howlOfTheUnderworldSpell,,,,,adaptiveBreathBonusScene:z_empty.lvl,
ancientFury,0,spell_AncientFurySpell_spellName,spell_AncientFurySpell_spellDescription,icon_howlAncientFury.png,white,0,ancientFurySpellText,,bloodFurySpell,,,spellStartSoundIdentifier:ancientFury_cast,,bloodFuryScene:spl_ancientFury.lvl,
pitilessWail,0,spell_PitilessWailSpell_spellName,spell_PitilessWailSpell_spellDescription,icon_howlPitilessWail.png,white,0,pitilessWailSpellText,,intimidatingRoarSpell,,,spellStartSoundIdentifier:pitilessWail_cast,intimidateBuildingParticle:ptl_building_pitilessWail|intimidateBuildingPersistParticle:ptl_building_pitilessWail_persist,intimidateDragonParticle:ptl_dragon_pitilessWail,
petrifyingGaze,0,spell_PetrifyingGazeSpell_spellName,spell_PetrifyingGazeSpell_spellDescription,icon_petrifyingGaze.png,red,0,petrifyingGazeSpellText,,petrifyingGazeSpell,,,spellStartSoundIdentifier:petrifyingGaze_cast,dreadfulBuildingParticle:ptl_building_intimidated|onBuildingScene:ptl_petrifyingGaze_spell_impact.lvl,dreadfulStartParticle:spl_petrifyingGaze,
gorgonsGuise,0,spell_GorgonsGuiseSpell_spellName,spell_GorgonsGuiseSpell_spellDescription,icon_gorgonsGuise.png,white,0,gorgonsGuideSpellText,,gorgonsGuiseSpell,empoweredIcon:icon_gorgonsGuise.png|empoweredActiveAbilityBattleText:empoweredBreathText,,spellStartSoundIdentifier:gorgonsGuise_cast,,dissipateCloudyMistScene:spl_gorgonsGuise.lvl|dissipateExplodeScene:spl_gorgonsGuise_burst.lvl|dissipateEndScene:spl_gorgonsGuise_end.lvl|attackPowerIncreaseParticle:spl_gorgonsGuise_Buff,
smother,0,spell_SmotherSpell_spellName,spell_SmotherSpell_spellDescription,icon_smother.png,white,0,smotherSpellText,smother,smotherSpell,,freeTarget,spellStartSoundIdentifier:noxious_vines_charge|spellReleaseSoundIdentifier:smother_cast,desiccatingSandBuildingScene:spl_smother.lvl,desiccatingSandPrepareParticle:ptl_smother_charge,
markOfHunger,0,spell_MarkOfHungerSpell_spellName,spell_MarkOfHungerSpell_spellDescription,icon_markOfHunger.png,blue|blue,0,markOfHungerSpellText,,markOfHungerSpell,empoweredIcon:icon_northernLights_dark.png|empoweredActiveAbilityBattleText:northernLightsSpellText,,spellStartSoundIdentifier:markOfHunger_cast,northernLightsBuildingHealScene:spl_markOfHunger_light.lvl|northernLightsBuildingRageScene:spl_markOfHunger_dark.lvl,northernLightsDarkScene:shield_markOfHunger_dark.lvl|northernLightsLightScene:shield_markOfHunger_light.lvl|northernLightsLightParticle:ptl_markOfHunger_blast_light|northernLightsDarkParticle:ptl_northernLights_blast_dark|northernLightsShieldDeathScene:shield_markOfHunger_supershot_death.lvl,
devour,0,spell_DevourSpell_spellName,spell_DevourSpell_spellDescription,icon_devour.png,white|white,0,devourSpellText,devour,devourSpell,empoweredIcon:icon_devour.png|empoweredActiveAbilityBattleText:devourSpellText,freeTarget,spellStartSoundIdentifier:devour_prepare|spellReleaseSoundIdentifier:devour_cast,,umbralSpikePrepareParticle:devour_grow|applyDragonParticle:ptl_heal_dragonSpell_02,
fireLance,0,spell_FireLance_spellName,spell_FireLance_spellDescription,icon_flameTorrent.png,passive,0,,,fireLanceSpell,,,,,flamethrowerDamageRampingProjectile:prj_drg_fire_lance_ramping_flame|flamethrowerDamageCappedProjectile:prj_drg_fire_lance_capped_flame,
violentFrenzy,0,spell_ViolentFrenzySpell_spellName,spell_ViolentFrenzySpell_spellDescription,icon_howlViolentFrenzy.png,white,0,violentFrenzySpellText,incinerate,incinerateSpell,"buildingPriorityIdentifiers:mageTower,mageBlueTower,orbTowerBossNDE,archerTowerBossNDE,cannonTowerBossNDE,elementalFlakDark,elementalFlakFire,elementalFlakIce,elementalFlakWind,elementalFlakEarth,perchIsland03,perchIsland06,perchIsland08,stormTower,iceTurret,fireTurret,archerTower,cannonTower,trebuchet,smokeTower,lightningTower,ballista,darkTotem,earthTotem,fireTotem,iceTotem,windTotem,archerTowerTutorial,cannonTowerTutorial,lightningTowerTutorial,hogFarm,woodFarm,stable",,spellStartSoundIdentifier:incinerate_cast,fluxBuildingParticle:incinerate_onBuilding,,!@#pbgkepkpmlcjbhac
